# Hyperion Sept. 2019 Clover Ge
# Craig Reingold, Department of physics, University of Notre Dame, USA
# Next: Numer of Lines
14
#Eg     FWHM_rel    Eff_tot    FE           SE          DE          c511
100    9.3010    1.533E+00    2.827E+06    0.000E+00    0.000E+00    0.000E+00
200    4.7798    1.480E+00    2.501E+06    0.000E+00    0.000E+00    0.000E+00
400    2.5503    1.219E+00    1.739E+06    0.000E+00    0.000E+00    0.000E+00
600    1.8086    1.111E+00    1.378E+06    0.000E+00    0.000E+00    0.000E+00
800    1.4405    1.062E+00    1.178E+06    0.000E+00    0.000E+00    0.000E+00
1000    1.2190    1.034E+00    1.042E+06    0.000E+00    0.000E+00    0.000E+00
1332    1.0000    1.000E+00    8.835E+05    1.417E+03    0.000E+00    1.639E+03
1500    0.9245    9.858E-01    8.208E+05    4.218E+03    3.575E+02    3.748E+03
2000    0.7781    9.460E-01    6.774E+05    1.520E+04    2.602E+03    1.250E+04
3000    0.6278    8.801E-01    4.953E+05    4.128E+04    6.447E+03    3.393E+04
4000    0.5492    8.334E-01    3.840E+05    6.202E+04    9.272E+03    4.966E+04
6000    0.4630    7.807E-01    2.576E+05    8.126E+04    1.174E+04    6.893E+04
8000    0.4186    7.484E-01    1.759E+05    8.082E+04    1.091E+04    7.777E+04
10000    0.3888    7.300E-01    1.255E+05    7.142E+04    9.480E+03    8.127E+04
