# OSCAR 2017 LaBr; no upscaling of compton
# Response functions compared with Si, C, Nd data from Mustafa (d,p) and (p,p) reactions with the first OCL experiments with OSCAR 2017 (only 21 LaBr) || Response functions simulated by GEANT4 (Fabio and Gry, August 2018) || Normalized to 1 at 1.33 MeV. || no upscaling of compton
# Next: Numer of Lines 
55
# Eg        FWHM_rel      Eff_tot       FE            SE            DE            c511          
  200    5.8153e+00    1.1679e+00    1.4366e+05    0.0000e+00    0.0000e+00    0.0000e+00
  400    2.9390e+00    1.1477e+00    1.2141e+05    0.0000e+00    0.0000e+00    0.0000e+00
  600    1.9936e+00    1.1095e+00    1.0527e+05    0.0000e+00    0.0000e+00    0.0000e+00
  800    1.5305e+00    1.0739e+00    9.5733e+04    0.0000e+00    0.0000e+00    0.0000e+00
 1000    1.2598e+00    1.0422e+00    8.8527e+04    0.0000e+00    0.0000e+00    0.0000e+00
 1200    1.0848e+00    1.0138e+00    8.2804e+05    1.2380e+03    0.0000e+00    7.0700e+02
 1400    9.6405e-01    9.9304e-01    7.8215e+05    4.8810e+03    9.8700e+02    2.5730e+03
 1600    8.7682e-01    9.7316e-01    7.3801e+05    1.1902e+04    1.9870e+03    5.5040e+03
 1800    8.1161e-01    9.5862e-01    7.0229e+05    2.0962e+04    3.4650e+03    9.9360e+03
 2000    7.6155e-01    9.4776e-01    6.6830e+05    3.0875e+04    4.9290e+03    1.4739e+04
 2200    7.2228e-01    9.3766e-01    6.3705e+04    4.1000e+03    6.9800e+02    2.0830e+03
 2400    6.9092e-01    9.3299e-01    6.0821e+04    5.2620e+03    7.7300e+02    2.5840e+03
 2600    6.6549e-01    9.3009e-01    5.8695e+04    6.3470e+03    9.8700e+02    3.2940e+03
 2800    6.4461e-01    9.2380e-01    5.6246e+04    7.3420e+03    1.1470e+03    3.7570e+03
 3000    6.2725e-01    9.2088e-01    5.4022e+04    8.3380e+03    1.2830e+03    4.2760e+03
 3200    6.1267e-01    9.1966e-01    5.2297e+04    9.3080e+03    1.4380e+03    4.8590e+03
 3400    6.0033e-01    9.2191e-01    5.0514e+04    1.0175e+04    1.5590e+03    5.4140e+03
 3600    5.8978e-01    9.2275e-01    4.9261e+04    1.0879e+04    1.6140e+03    5.7840e+03
 3800    5.8071e-01    9.2142e-01    4.7400e+04    1.1799e+04    1.6790e+03    6.4850e+03
 4000    5.7285e-01    9.2374e-01    4.6278e+04    1.2674e+04    1.9200e+03    6.9030e+03
 4200    5.6600e-01    9.2644e-01    4.4624e+04    1.3116e+04    2.0110e+03    7.4070e+03
 4400    5.5999e-01    9.2921e-01    4.3488e+04    1.4167e+04    2.0460e+03    7.9670e+03
 4600    5.5470e-01    9.3297e-01    4.2366e+04    1.4544e+04    1.9700e+03    8.2170e+03
 4800    5.5001e-01    9.3686e-01    4.1303e+04    1.5044e+04    2.0120e+03    8.7110e+03
 5000    5.4584e-01    9.4024e-01    4.0220e+04    1.5432e+04    2.1420e+03    8.7010e+03
 5200    5.4211e-01    9.4492e-01    3.9438e+04    1.5911e+04    2.1020e+03    9.3920e+03
 5400    5.3877e-01    9.5207e-01    3.7840e+04    1.6418e+04    2.2740e+03    9.8660e+03
 5600    5.3577e-01    9.5075e-01    3.7316e+04    1.6506e+04    2.3180e+03    1.0266e+04
 5800    5.3305e-01    9.5499e-01    3.5984e+04    1.6719e+04    2.2850e+03    1.0386e+04
 6000    5.3059e-01    9.5812e-01    3.5503e+04    1.7038e+04    2.4020e+03    1.0339e+04
 6200    5.2836e-01    9.6650e-01    3.4740e+04    1.6926e+04    2.2760e+03    1.1051e+04
 6400    5.2632e-01    9.6871e-01    3.3852e+04    1.7158e+04    2.4850e+03    1.1251e+04
 6600    5.2445e-01    9.7559e-01    3.3141e+04    1.7449e+04    2.4540e+03    1.1475e+04
 6800    5.2275e-01    9.7696e-01    3.2120e+04    1.7363e+04    2.4010e+03    1.1557e+04
 7000    5.2118e-01    9.8265e-01    3.1765e+04    1.7433e+04    2.2600e+03    1.1951e+04
 7200    5.1974e-01    9.8494e-01    3.1034e+04    1.7642e+04    2.3960e+03    1.2333e+04
 7400    5.1841e-01    9.9528e-01    3.0550e+04    1.7401e+04    2.1830e+03    1.2011e+04
 7600    5.1718e-01    9.9961e-01    2.9747e+04    1.7666e+04    2.2730e+03    1.2536e+04
 7800    5.1604e-01    1.0022e+00    2.9083e+04    1.7335e+04    2.2530e+03    1.2763e+04
 8000    5.1498e-01    1.0094e+00    2.8604e+04    1.7359e+04    2.1610e+03    1.3034e+04
 8200    5.1400e-01    1.0147e+00    2.8233e+04    1.7236e+04    2.3690e+03    1.3142e+04
 8400    5.1308e-01    1.0200e+00    2.7490e+04    1.7043e+04    2.2900e+03    1.3365e+04
 8600    5.1223e-01    1.0211e+00    2.6877e+04    1.6933e+04    2.2060e+03    1.3395e+04
 8800    5.1143e-01    1.0299e+00    2.6037e+04    1.6829e+04    2.2980e+03    1.3513e+04
 9000    5.1069e-01    1.0351e+00    2.5681e+04    1.6722e+04    2.2020e+03    1.3763e+04
 9200    5.0999e-01    1.0415e+00    2.4970e+04    1.6554e+04    2.1630e+03    1.3987e+04
 9400    5.0933e-01    1.0465e+00    2.4729e+04    1.6175e+04    2.1990e+03    1.3855e+04
 9600    5.0872e-01    1.0518e+00    2.4334e+04    1.6274e+04    2.0580e+03    1.4029e+04
 9800    5.0814e-01    1.0549e+00    2.3590e+04    1.5833e+04    2.1030e+03    1.4316e+04
10000    5.0760e-01    1.0609e+00    2.3380e+04    1.5819e+04    2.0980e+03    1.4388e+04
12000    5.0354e-01    1.1113e+00    1.8709e+04    1.3749e+04    1.7790e+03    1.5277e+04
14000    5.0107e-01    1.1562e+00    1.5225e+04    1.1333e+04    1.5930e+03    1.5773e+04
16000    4.9947e-01    1.2054e+00    1.2293e+04    9.2300e+03    1.2580e+03    1.6451e+04
18000    4.9837e-01    1.2362e+00    9.8880e+03    7.5150e+03    1.0110e+03    1.6505e+04
20000    4.9757e-01    1.2654e+00    7.8430e+03    6.0500e+03    9.8700e+02    1.6673e+04
