
                   **** ELAST ****

This programm is free software an may be freely distributed
for no-commercial purposes .

 (C) 1996-98 by Boris Harss, ANL

Reaction: 58NI(126XE,126XE)58NI    Q = 0.000000

Angle     Energy3_+ Angle4_-  Energy4_- Energy3_- Angle4_+  Energy4_+ 
        0       554         0 9.41327e-11   75.5732         0   478.427 
      0.1   553.996  -111.631 0.00367609   75.5737 -0.058535   478.426 
      0.2   553.985  -100.985 0.0147044   75.5752 -0.117071   478.425 
      0.3   553.967  -97.1127 0.0330848   75.5777  -0.17561   478.422 
      0.4   553.941  -95.0704 0.0588174   75.5812 -0.234152   478.419 
      0.5   553.908  -93.7751 0.0919022   75.5857   -0.2927   478.414 
      0.6   553.868  -92.8563  0.132339   75.5912 -0.351253   478.409 
      0.7    553.82  -92.1538  0.180128   75.5977 -0.409814   478.402 
      0.8   553.765  -91.5866   0.23527   75.6052 -0.468383   478.395 
      0.9   553.702  -91.1099  0.297764   75.6137 -0.526963   478.386 
        1   553.632  -90.6965  0.367609   75.6233 -0.585553   478.377 
      1.1   553.555  -90.3293  0.444808   75.6338 -0.644156   478.366 
      1.2   553.471  -89.9966  0.529358   75.6453 -0.702772   478.355 
      1.3   553.379  -89.6906  0.621261   75.6578 -0.761403   478.342 
      1.4   553.279  -89.4054  0.720516   75.6714  -0.82005   478.329 
      1.5   553.173  -89.1371  0.827123   75.6859 -0.878715   478.314 
      1.6   553.059  -88.8823  0.941083   75.7015 -0.937398   478.298 
      1.7   552.938  -88.6387    1.0624   75.7181 -0.996101   478.282 
      1.8   552.809  -88.4044   1.19106   75.7357  -1.05482   478.264 
      1.9   552.673   -88.178   1.32708   75.7543  -1.11357   478.246 
        2    552.53  -87.9583   1.47045   75.7739  -1.17234   478.226 
      2.1   552.379  -87.7442   1.62117   75.7945  -1.23113   478.205 
      2.2   552.221  -87.5351   1.77924   75.8162  -1.28996   478.184 
      2.3   552.055  -87.3303   1.94467   75.8388   -1.3488   478.161 
